R:A::C:P,0,1 4 6,2 5,3
0,0.43243243243243246,0.36486486486486486,0.16216216216216217,0.04054054054054054
1 4 6,0.17633136094674556,0.46982248520710057,0.2331360946745562,0.12071005917159763
2 5,0.1509433962264151,0.42857142857142855,0.2641509433962264,0.15633423180592992
3,0.16666666666666666,0.38235294117647056,0.30392156862745096,0.14705882352941177
