R:A::C:P,0 5,1,2,3 6,4
0 5,0.0741444866920152,0.026615969581749048,0.022813688212927757,0.034220532319391636,0.02091254752851711
1,0.1634980988593156,0.0817490494296578,0.07604562737642585,0.057034220532319393,0.051330798479087454
2,0.049429657794676805,0.03802281368821293,0.045627376425855515,0.058935361216730035,0.019011406844106463
3 6,0.03802281368821293,0.013307984790874524,0.024714828897338403,0.039923954372623575,0.019011406844106463
4,0.019011406844106463,0.0038022813688212928,0.009505703422053232,0.013307984790874524,0.0
