R:A::C:P,0 6,1 2 3,4,5
0 6,0.37831858407079644,0.27586206896551724,0.32105263157894737,0.4294117647058823
1 2 3,0.5287610619469026,0.5948275862068966,0.5210526315789473,0.4411764705882353
4,0.030973451327433628,0.05862068965517241,0.08421052631578947,0.052941176470588235
5,0.061946902654867256,0.0706896551724138,0.07368421052631578,0.07647058823529412
