R:A::C:P,0,1 5 6,2 3 4
0,0.2153846153846154,0.1043956043956044,0.09813084112149532
1 5 6,0.6076923076923076,0.5164835164835165,0.5420560747663551
2 3 4,0.17692307692307693,0.3791208791208791,0.3598130841121495
