R:A::C:P,0 6,1,2 5,3 4
0 6,0.12284482758620689,0.039511494252873564,0.08620689655172414,0.08548850574712644
1,0.09482758620689655,0.07255747126436782,0.04597701149425287,0.0603448275862069
2 5,0.07543103448275862,0.04454022988505747,0.07040229885057471,0.07614942528735633
3 4,0.031609195402298854,0.011494252873563218,0.040229885057471264,0.042385057471264365
