R:A::C:P,0,1,2 6,3 5,4
0,0.3010752688172043,0.13559322033898305,0.08571428571428572,0.12903225806451613,0.12280701754385964
1,0.5053763440860215,0.5254237288135594,0.4380952380952381,0.3387096774193548,0.3684210526315789
2 6,0.11827956989247312,0.3220338983050847,0.3142857142857143,0.2903225806451613,0.2807017543859649
3 5,0.053763440860215055,0.01694915254237288,0.12380952380952381,0.22580645161290322,0.10526315789473684
4,0.021505376344086023,0.0,0.0380952380952381,0.016129032258064516,0.12280701754385964
