R:A::C:P,0,1,2,3,4,5,6,7
0,0,21,2,2,7,2,0,1
1,26,0,13,17,7,7,0,0
2,6,8,0,13,1,4,2,0
3,0,1,4,0,2,0,0,0
4,1,1,1,3,0,0,1,0
5,1,0,1,1,0,0,1,0
6,1,0,0,1,0,0,0,0
7,1,0,0,0,0,0,0,0
