R:A::C:P,antag,fool,other,protag
antag,0.024390243902439025,0.012195121951219513,0.06097560975609756,0.04878048780487805
fool,0.012195121951219513,0.0,0.0,0.012195121951219513
other,0.14634146341463414,0.0,0.14634146341463414,0.18292682926829268
protag,0.036585365853658534,0.0,0.08536585365853659,0.23170731707317074
