R:A::C:P,0 1,2,3,4,5 6
0 1,0.8285714285714286,0.52,0.45161290322580644,0.6842105263157895,0.5
2,0.11428571428571428,0.32,0.3548387096774194,0.05263157894736842,0.42857142857142855
3,0.014285714285714285,0.08,0.06451612903225806,0.10526315789473684,0.0
4,0.014285714285714285,0.04,0.06451612903225806,0.15789473684210525,0.0
5 6,0.02857142857142857,0.04,0.06451612903225806,0.0,0.07142857142857142
