R:A::C:P,0 4,1,2,3 5 6
0 4,0.4217687074829932,0.16326530612244897,0.1564625850340136,0.2585034013605442
1,0.37270341207349084,0.2650918635170604,0.10236220472440945,0.25984251968503935
2,0.26545454545454544,0.18181818181818182,0.14909090909090908,0.4036363636363636
3 5 6,0.2835314091680815,0.100169779286927,0.11035653650254669,0.5059422750424448
