R:A::C:P,0,1 6,2 3 4 5
0,0.43243243243243246,0.28378378378378377,0.28378378378378377
1 6,0.18264248704663213,0.3432642487046632,0.4740932642487047
2 3 4 5,0.14835164835164835,0.2673992673992674,0.5842490842490843
