name,AA,AE,AH,AO,AW,AY,B,CH,D,DH,EH,ER,EY,F,G,HH,IH,IY,JH,K,L,M,N,NG,OW,OY,P,R,S,SH,T,TH,UH,UW,V,W,Y,Z,ZH
JC_Antony,162,207,653,133,70,180,164,34,391,272,245,199,111,135,50,171,412,311,29,163,318,282,557,49,141,8,122,381,424,65,538,37,47,218,166,182,114,313,4
JC_Brutus,353,470,1339,282,169,467,314,85,766,558,562,396,211,327,142,357,814,631,53,374,662,593,1145,106,276,18,278,768,804,140,1088,84,102,372,309,392,185,496,1
JC_PLEBEIANS,1,9,29,0,2,7,11,0,6,7,8,5,3,3,1,10,13,22,1,5,25,8,20,0,8,0,4,13,22,1,24,0,0,6,5,14,2,4,0
Jn_KingJohn,168,267,939,210,157,283,221,43,559,411,314,235,165,241,89,228,566,350,38,251,413,370,749,91,135,13,193,530,471,73,672,84,42,210,196,228,110,290,5
Jn_KingPhilip,75,123,433,88,66,73,96,26,232,180,145,121,91,91,58,87,271,157,40,104,252,119,341,50,67,11,98,243,247,37,316,27,19,96,109,107,39,141,2
LLL_Costard,85,144,353,80,31,125,67,14,156,162,106,152,85,95,41,74,249,144,12,87,176,181,303,34,97,4,73,196,217,48,298,35,22,98,64,130,50,101,0
LLL_King,138,208,609,144,79,201,115,51,342,265,229,163,134,138,50,148,395,247,27,162,270,274,510,38,118,3,129,398,372,69,509,55,30,160,162,226,102,211,5
LLL_Princess,121,154,507,156,73,146,120,41,317,218,223,156,154,133,73,122,373,216,22,160,288,204,420,57,101,2,129,367,326,53,469,47,35,156,149,210,89,191,4
Lr_Fool,81,166,348,105,73,152,91,20,198,234,175,96,78,107,51,123,225,156,8,120,230,159,362,37,82,5,59,213,184,32,346,18,25,93,60,143,29,162,1
Lr_Goneril,84,148,377,104,32,138,75,33,220,136,135,130,77,104,29,123,242,118,12,103,195,171,345,24,75,3,66,231,257,32,339,24,27,117,85,107,78,133,1
Lr_Lear,358,424,1265,344,243,531,297,103,764,662,496,508,313,343,173,349,782,570,72,457,712,599,1121,123,280,24,289,775,811,126,1150,104,86,376,303,413,191,441,10
MM_Angelo,132,198,605,174,59,231,147,45,311,256,236,173,144,131,64,134,358,256,31,158,272,287,494,55,117,5,135,359,399,58,584,43,43,167,146,182,101,185,2
MM_Duke,316,581,1756,467,163,481,392,117,929,719,635,529,306,465,155,544,1206,670,107,508,783,682,1388,138,370,10,370,1040,1030,154,1429,132,111,606,419,436,395,535,17
MM_Pompey,64,127,308,101,31,95,85,23,188,101,108,152,65,93,32,96,204,140,12,80,117,124,259,49,42,1,83,204,202,32,239,25,40,95,80,83,88,94,1
MND_Bottom,103,177,475,127,45,205,96,24,260,185,160,132,127,106,61,114,287,199,10,164,265,241,364,43,87,6,95,315,266,42,423,38,48,160,96,168,90,139,3
MV_LanceletGobbo,103,159,367,97,20,138,82,22,161,142,118,120,53,105,47,75,216,140,23,89,199,181,316,51,70,2,50,206,218,43,272,21,30,122,88,96,71,114,1
MV_Portia,222,380,1192,302,115,398,286,110,651,523,486,281,211,326,104,305,796,495,60,315,536,501,957,113,181,11,202,671,607,122,907,106,80,357,278,327,204,402,4
MV_Shylock,192,249,750,165,76,297,184,48,411,261,256,165,134,191,95,192,439,296,69,188,317,323,641,57,131,3,136,381,358,79,560,79,47,212,143,214,119,246,0
Mac_Macbeth,257,427,1437,274,193,489,364,109,803,647,486,350,287,342,137,336,858,514,53,392,666,553,1131,134,231,23,259,763,781,105,1108,126,101,309,290,411,139,474,4
Mac_Porter,22,19,66,16,3,14,10,2,33,23,30,28,27,22,9,37,71,21,0,46,28,41,64,15,14,0,18,44,39,5,69,9,4,20,20,12,9,26,1
Oth_Clown,10,17,45,14,0,29,9,1,17,23,24,17,16,11,4,19,38,25,7,11,26,24,50,5,13,1,9,38,30,4,49,1,1,24,6,18,15,31,0
Oth_Iago,454,705,2113,474,218,742,464,154,1126,776,811,565,390,532,231,682,1451,868,107,576,1056,933,1798,206,394,19,427,1157,1207,224,1816,144,183,652,495,607,375,716,13
Oth_Othello,402,508,1634,320,187,640,332,117,933,665,585,433,293,392,190,466,943,684,64,448,718,691,1297,128,324,18,292,780,951,177,1415,115,109,381,418,468,184,496,2
Per_Antiochus,20,38,121,41,22,44,25,15,81,50,48,42,22,35,8,42,97,54,5,37,55,37,113,12,11,2,30,93,92,7,110,11,0,29,29,27,24,46,1
Per_Pericles,242,357,1103,294,141,494,290,84,608,506,474,347,219,293,121,285,699,471,60,350,537,569,903,110,165,13,227,742,666,119,968,103,60,324,276,303,170,398,8
R2_HenryIV,156,269,895,219,84,329,190,55,502,310,278,239,160,224,113,187,518,317,49,254,462,388,706,109,133,25,159,541,481,92,616,71,46,193,208,197,97,257,1
R2_RichardII,328,480,1574,345,272,545,358,83,875,677,606,423,368,381,198,384,1005,588,86,509,784,696,1310,203,273,20,295,959,877,134,1213,138,66,321,372,500,124,562,4
R3_RichardIII,510,733,2297,586,252,896,571,165,1411,986,913,690,458,521,246,589,1443,919,107,718,1223,1076,1893,256,330,36,435,1361,1222,183,1853,142,135,570,550,674,283,746,6
Rom_Romeo,234,386,1057,230,171,508,249,82,659,565,505,326,220,300,123,292,809,535,68,287,636,554,962,123,238,22,219,639,690,107,1054,114,61,261,296,340,70,390,4
Rom_Tybalt,13,24,64,15,12,21,11,3,27,42,21,21,9,16,7,20,54,30,2,24,33,35,56,6,11,4,9,32,37,8,59,1,4,15,15,23,9,12,2
Shr_Grumio,82,127,313,88,64,140,80,6,177,148,119,146,70,113,43,135,196,150,4,111,164,177,255,30,72,3,56,189,209,36,297,31,23,93,52,101,38,109,0
Shr_Petruchio,256,356,1104,258,139,437,268,62,621,455,395,341,298,276,119,281,652,517,37,383,534,510,962,101,188,5,185,586,623,128,1003,69,71,329,190,408,169,345,8
TGV_Lance,93,200,407,115,56,168,88,28,215,247,157,155,86,105,52,146,301,191,13,132,192,205,338,45,72,4,69,207,257,58,375,34,31,93,95,154,31,151,0
TGV_Proteus,145,289,810,220,87,390,178,59,453,326,328,274,157,241,83,232,563,349,54,205,511,363,687,88,133,10,161,470,499,106,729,52,45,260,262,266,136,257,0
TGV_Speed,80,158,311,95,36,141,67,11,152,126,123,164,53,79,22,101,200,167,5,106,179,174,287,30,61,1,71,169,209,67,330,33,20,133,88,110,103,103,1
TGV_Valentine,126,249,696,179,82,298,153,48,386,257,276,224,147,197,76,194,453,325,35,182,384,344,610,59,120,14,127,377,406,64,574,66,52,197,224,233,109,229,3
TNK_Theseus,130,208,622,174,72,171,125,43,342,257,255,194,120,143,78,142,364,242,30,166,288,236,516,42,92,8,108,408,358,50,452,40,36,191,155,198,163,238,2
TN_Feste,124,226,566,112,62,225,153,26,351,246,232,192,153,148,78,126,366,223,14,128,290,262,492,59,114,4,93,312,331,32,464,45,55,183,131,203,84,207,5
TN_Malvolio,102,216,547,118,45,204,119,25,290,216,208,140,118,130,52,136,383,268,12,173,271,301,454,62,115,6,106,289,360,62,463,32,39,182,155,151,100,188,2
TN_Viola,126,241,659,142,55,308,138,55,334,232,191,204,141,144,50,147,375,274,20,148,303,366,534,48,121,4,125,333,362,62,511,43,48,201,181,174,131,216,3
Tim_Fool,9,16,60,13,5,18,4,5,18,16,14,17,7,12,5,8,23,18,3,15,30,32,37,3,10,0,7,23,29,3,32,5,5,17,7,15,8,21,0
Tim_Timon,357,515,1610,368,241,566,386,102,886,829,689,427,333,428,231,357,913,632,56,488,820,783,1428,139,280,10,308,947,871,112,1391,144,113,442,387,434,252,622,7
Tit_Aaron,148,240,736,185,80,253,161,46,453,365,298,182,126,171,74,184,420,233,28,181,356,288,569,52,128,11,137,437,415,68,562,45,46,191,170,225,102,253,3
Tit_CountryFellow,5,14,45,8,2,21,12,1,18,12,19,14,13,6,8,15,18,15,3,12,19,20,36,7,6,0,7,15,21,1,27,2,3,11,14,9,8,6,0
Tit_Titus,322,456,1410,330,182,532,319,62,873,757,568,423,261,292,141,420,859,620,67,384,703,721,1221,100,261,31,274,947,778,129,1141,74,76,363,300,464,183,541,1
Tmp_Antonio,67,103,248,55,32,77,59,23,132,122,90,59,53,52,27,63,145,114,5,76,133,102,205,22,65,0,63,142,155,15,212,12,16,67,43,94,30,93,3
Tmp_Prospero,303,391,1247,274,201,485,288,116,671,628,438,322,245,294,121,289,779,468,49,373,583,598,1044,114,211,15,282,783,769,111,1003,71,57,299,272,309,121,396,5
Tro_Thersites,149,230,639,105,94,162,140,30,276,266,204,160,119,134,77,183,379,231,33,209,334,215,482,51,108,6,101,311,291,41,444,37,47,124,117,165,45,215,4
Tro_Troilus,213,329,1009,229,123,357,220,74,554,415,352,293,206,248,108,223,630,445,45,290,494,386,814,78,165,18,215,613,580,126,859,106,43,279,248,328,107,389,5
WT_Autolycus,135,220,662,149,40,234,157,38,294,257,208,173,97,146,63,174,392,247,23,164,251,282,487,73,114,2,134,328,335,57,506,41,42,156,136,180,61,198,3
WT_Leontes,278,441,1163,282,174,461,302,100,648,533,418,365,230,277,137,348,857,546,54,366,564,550,1031,130,241,27,277,670,761,127,1070,97,93,310,248,377,134,445,3
WT_Polixenes,124,170,521,102,66,154,128,56,251,227,206,139,114,133,40,141,357,226,30,138,199,262,430,49,96,6,107,297,324,58,407,34,30,131,110,141,69,181,2
Wiv_Falstaff,167,369,951,208,99,395,237,51,457,340,302,268,164,219,106,258,543,363,46,298,485,481,733,59,184,11,162,483,507,100,777,61,108,231,251,282,120,251,2
Wiv_MistressPage,130,234,675,146,65,218,146,32,339,232,234,214,118,159,79,278,426,289,40,196,295,295,539,42,104,7,99,335,349,47,558,34,51,180,138,215,130,214,0
