R:A::C:P,0,1 5,2 3,4
0,0.42105263157894735,0.47368421052631576,0.10526315789473684,0.0
1 5,0.2702702702702703,0.32432432432432434,0.40540540540540543,0.0
2 3,0.18181818181818182,0.13636363636363635,0.6818181818181818,0.0
4,0.0,0.0,0.5,0.5
