R:A::C:P,0 2,1 4,3,5 6
0 2,0.441340782122905,0.26256983240223464,0.15083798882681565,0.1452513966480447
1 4,0.46,0.288,0.08,0.172
3,0.35294117647058826,0.14705882352941177,0.14705882352941177,0.35294117647058826
5 6,0.2857142857142857,0.31746031746031744,0.15873015873015872,0.23809523809523808
