R:A::C:P,0,1,2,3,4,5,6
0,0,38,10,5,12,6,3
1,156,0,47,43,52,26,57
2,48,57,0,43,45,40,42
3,20,13,18,0,17,17,17
4,13,5,22,15,0,10,8
5,19,14,15,20,15,0,13
6,54,66,70,64,65,72,0
