R:A::C:P,0,1,2,3,4 5 6
0,0.3010752688172043,0.13559322033898305,0.0784313725490196,0.08108108108108109,0.125
1,0.5053763440860215,0.5254237288135594,0.4117647058823529,0.4594594594594595,0.36764705882352944
2,0.10752688172043011,0.288135593220339,0.2549019607843137,0.21621621621621623,0.2426470588235294
3,0.010752688172043012,0.01694915254237288,0.11764705882352941,0.08108108108108109,0.08088235294117647
4 5 6,0.07526881720430108,0.03389830508474576,0.13725490196078433,0.16216216216216217,0.18382352941176472
