R:A::C:P,0,1,2,3,4 5 6
0,0.07446808510638298,0.02127659574468085,0.010638297872340425,0.007978723404255319,0.04521276595744681
1,0.125,0.08244680851063829,0.05585106382978723,0.04521276595744681,0.13297872340425532
2,0.026595744680851064,0.04521276595744681,0.034574468085106384,0.02127659574468085,0.08776595744680851
3,0.0026595744680851063,0.0026595744680851063,0.015957446808510637,0.007978723404255319,0.02925531914893617
4 5 6,0.018617021276595744,0.005319148936170213,0.018617021276595744,0.015957446808510637,0.06648936170212766
