R:A::C:P,0 2 5,1,3 4 6
0 2 5,0.3344594594594595,0.34615384615384615,0.29328621908127206
1,0.2635135135135135,0.43162393162393164,0.21908127208480566
3 4 6,0.40202702702702703,0.2222222222222222,0.4876325088339223
