R:A::C:P,0,1 5,2 3 4 6
0,0.4117647058823529,0.25,0.3382352941176471
1 5,0.2896825396825397,0.25396825396825395,0.45634920634920634
2 3 4 6,0.1407766990291262,0.27184466019417475,0.587378640776699
