R:A::C:P,0,1 4,2,3,5 6
0,0.3010752688172043,0.12931034482758622,0.0784313725490196,0.08108108108108109,0.12658227848101267
1 4,0.5268817204301075,0.5086206896551724,0.45098039215686275,0.4864864864864865,0.3924050632911392
2,0.10752688172043011,0.2413793103448276,0.2549019607843137,0.21621621621621623,0.27848101265822783
3,0.010752688172043012,0.05172413793103448,0.11764705882352941,0.08108108108108109,0.0759493670886076
5 6,0.053763440860215055,0.06896551724137931,0.09803921568627451,0.13513513513513514,0.12658227848101267
