R:A::C:P,0,1 6,2,3 4 5
0,0.022988505747126436,0.015086206896551725,0.005028735632183908,0.010057471264367816
1 6,0.10129310344827586,0.1903735632183908,0.05675287356321839,0.20617816091954022
2,0.028017241379310345,0.06321839080459771,0.029454022988505746,0.07686781609195402
3 4 5,0.03017241379310345,0.041666666666666664,0.029454022988505746,0.09339080459770115
