R:A::C:P,0,1 6,2,3 4 5
0,0.43243243243243246,0.28378378378378377,0.0945945945945946,0.1891891891891892
1 6,0.18264248704663213,0.3432642487046632,0.10233160621761658,0.37176165803108807
2,0.14181818181818182,0.32,0.14909090909090908,0.3890909090909091
3 4 5,0.15498154981549817,0.2140221402214022,0.15129151291512916,0.4797047970479705
