R:A::C:P,0,1,2,3 4,5 6
0,0.3230769230769231,0.1724137931034483,0.09090909090909091,0.12307692307692308,0.09090909090909091
1,0.5076923076923077,0.4827586206896552,0.5,0.4,0.4318181818181818
2,0.1076923076923077,0.27586206896551724,0.22727272727272727,0.2153846153846154,0.3409090909090909
3 4,0.015384615384615385,0.034482758620689655,0.11363636363636363,0.18461538461538463,0.09090909090909091
5 6,0.046153846153846156,0.034482758620689655,0.06818181818181818,0.07692307692307693,0.045454545454545456
