R:A::C:P,0 2,1,3 4 5 6
0 2,0.1949685534591195,0.05660377358490566,0.18238993710691823
1,0.18238993710691823,0.11320754716981132,0.14465408805031446
3 4 5 6,0.0440251572327044,0.006289308176100629,0.07547169811320754
