R:A::C:P,0 5,1 6,2 4,3
0 5,0.06530089628681178,0.04481434058898848,0.040973111395646605,0.015364916773367477
1 6,0.14212548015364918,0.17797695262483995,0.1203585147247119,0.058898847631242
2 4,0.08194622279129321,0.06145966709346991,0.09090909090909091,0.03585147247119078
3,0.015364916773367477,0.01792573623559539,0.019206145966709345,0.011523687580025609
