R:A::C:P,0 6,1 2 3 4,5
0 6,0.36774193548387096,0.4752688172043011,0.15698924731182795
1 2 3 4,0.30445246690734057,0.5944645006016848,0.10108303249097472
5,0.2916666666666667,0.5729166666666666,0.13541666666666666
