R:A::C:P,0 1,2 3,4,5,6
0 1,0.5102040816326531,0.25510204081632654,0.10884353741496598,0.08163265306122448,0.04421768707482993
2 3,0.296551724137931,0.4068965517241379,0.08275862068965517,0.1103448275862069,0.10344827586206896
4,0.20833333333333334,0.25,0.0,0.2916666666666667,0.25
5,0.3076923076923077,0.34615384615384615,0.23076923076923078,0.0,0.11538461538461539
6,0.2702702702702703,0.1891891891891892,0.21621621621621623,0.10810810810810811,0.21621621621621623
