                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-126-3-4-5   43.32%     34.61%     27.33%     12.90%  
                   01-26-3-4-5   41.30%     31.78%     26.02%     11.68%  
                   026-1-3-4-5   31.98%     29.19%     21.57%     6.04%   
                   0-1-236-4-5   31.98%     32.38%     25.36%     11.43%  
                   0-13-26-4-5   31.58%     30.84%     25.53%     9.11%   
                   0-14-26-3-5   31.17%     28.45%     24.27%     8.25%   
                   0-1-256-3-4   29.96%     37.04%     27.74%     14.25%  
                   0-1-246-3-5   29.55%     28.70%     23.03%     8.40%   
                   0-15-26-3-4   28.74%     35.87%     27.22%     12.28%  
                   04-1-26-3-5   28.34%     27.86%     22.03%     7.58%   
                   0-1-26-35-4   27.53%     36.21%     27.21%     13.46%  
                   03-1-26-4-5   27.13%     28.58%     22.13%     7.24%   
                   05-1-26-3-4   27.13%     34.48%     25.59%     11.50%  
                   0-1-26-34-5   27.13%     29.56%     23.28%     9.02%   
                   0-1-26-3-45   25.91%     31.05%     24.31%     9.85%   


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-256-3-4   29.96%     37.04%     27.74%     14.25%  
                   0-1-26-35-4   27.53%     36.21%     27.21%     13.46%  
                   0-15-26-3-4   28.74%     35.87%     27.22%     12.28%  
                   0-126-3-4-5   43.32%     34.61%     27.33%     12.90%  
                   05-1-26-3-4   27.13%     34.48%     25.59%     11.50%  
                   0-1-236-4-5   31.98%     32.38%     25.36%     11.43%  
                   01-26-3-4-5   41.30%     31.78%     26.02%     11.68%  
                   0-1-26-3-45   25.91%     31.05%     24.31%     9.85%   
                   0-13-26-4-5   31.58%     30.84%     25.53%     9.11%   
                   0-1-26-34-5   27.13%     29.56%     23.28%     9.02%   
                   026-1-3-4-5   31.98%     29.19%     21.57%     6.04%   
                   0-1-246-3-5   29.55%     28.70%     23.03%     8.40%   
                   03-1-26-4-5   27.13%     28.58%     22.13%     7.24%   
                   0-14-26-3-5   31.17%     28.45%     24.27%     8.25%   
                   04-1-26-3-5   28.34%     27.86%     22.03%     7.58%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-256-3-4   29.96%     37.04%     27.74%     14.25%  
                   0-126-3-4-5   43.32%     34.61%     27.33%     12.90%  
                   0-15-26-3-4   28.74%     35.87%     27.22%     12.28%  
                   0-1-26-35-4   27.53%     36.21%     27.21%     13.46%  
                   01-26-3-4-5   41.30%     31.78%     26.02%     11.68%  
                   05-1-26-3-4   27.13%     34.48%     25.59%     11.50%  
                   0-13-26-4-5   31.58%     30.84%     25.53%     9.11%   
                   0-1-236-4-5   31.98%     32.38%     25.36%     11.43%  
                   0-1-26-3-45   25.91%     31.05%     24.31%     9.85%   
                   0-14-26-3-5   31.17%     28.45%     24.27%     8.25%   
                   0-1-26-34-5   27.13%     29.56%     23.28%     9.02%   
                   0-1-246-3-5   29.55%     28.70%     23.03%     8.40%   
                   03-1-26-4-5   27.13%     28.58%     22.13%     7.24%   
                   04-1-26-3-5   28.34%     27.86%     22.03%     7.58%   
                   026-1-3-4-5   31.98%     29.19%     21.57%     6.04%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-256-3-4   29.96%     37.04%     27.74%     14.25%  
                   0-1-26-35-4   27.53%     36.21%     27.21%     13.46%  
                   0-126-3-4-5   43.32%     34.61%     27.33%     12.90%  
                   0-15-26-3-4   28.74%     35.87%     27.22%     12.28%  
                   01-26-3-4-5   41.30%     31.78%     26.02%     11.68%  
                   05-1-26-3-4   27.13%     34.48%     25.59%     11.50%  
                   0-1-236-4-5   31.98%     32.38%     25.36%     11.43%  
                   0-1-26-3-45   25.91%     31.05%     24.31%     9.85%   
                   0-13-26-4-5   31.58%     30.84%     25.53%     9.11%   
                   0-1-26-34-5   27.13%     29.56%     23.28%     9.02%   
                   0-1-246-3-5   29.55%     28.70%     23.03%     8.40%   
                   0-14-26-3-5   31.17%     28.45%     24.27%     8.25%   
                   04-1-26-3-5   28.34%     27.86%     22.03%     7.58%   
                   03-1-26-4-5   27.13%     28.58%     22.13%     7.24%   
                   026-1-3-4-5   31.98%     29.19%     21.57%     6.04%   
