                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   012-3-4-5-6   68.25%     27.69%     23.02%     8.98%   
                   01-23-4-5-6   58.73%     28.65%     27.09%     14.38%  
                   0-123-4-5-6   57.14%     27.38%     25.58%     11.34%  
                   01-2-34-5-6   54.76%     28.58%     26.53%     13.86%  
                   01-2-3-4-56   53.97%     32.69%     28.58%     16.16%  
                   01-2-3-45-6   53.97%     30.55%     27.51%     14.84%  
                   0-12-34-5-6   48.41%     28.75%     25.59%     11.68%  
                   0-12-3-4-56   47.62%     32.86%     27.65%     13.97%  
                   0-12-3-45-6   47.62%     30.72%     26.58%     12.65%  
                   0-1-234-5-6   45.24%     29.31%     28.58%     14.63%  
                   0-1-23-4-56   42.06%     32.71%     30.59%     16.83%  
                   0-1-23-45-6   42.06%     30.57%     29.52%     15.50%  
                   0-1-2-345-6   38.89%     32.09%     29.75%     15.97%  
                   0-1-2-3-456   38.10%     36.75%     32.16%     18.76%  
                   0-1-2-34-56   38.10%     32.64%     30.02%     16.31%  


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-2-3-456   38.10%     36.75%     32.16%     18.76%  
                   0-12-3-4-56   47.62%     32.86%     27.65%     13.97%  
                   0-1-23-4-56   42.06%     32.71%     30.59%     16.83%  
                   01-2-3-4-56   53.97%     32.69%     28.58%     16.16%  
                   0-1-2-34-56   38.10%     32.64%     30.02%     16.31%  
                   0-1-2-345-6   38.89%     32.09%     29.75%     15.97%  
                   0-12-3-45-6   47.62%     30.72%     26.58%     12.65%  
                   0-1-23-45-6   42.06%     30.57%     29.52%     15.50%  
                   01-2-3-45-6   53.97%     30.55%     27.51%     14.84%  
                   0-1-234-5-6   45.24%     29.31%     28.58%     14.63%  
                   0-12-34-5-6   48.41%     28.75%     25.59%     11.68%  
                   01-23-4-5-6   58.73%     28.65%     27.09%     14.38%  
                   01-2-34-5-6   54.76%     28.58%     26.53%     13.86%  
                   012-3-4-5-6   68.25%     27.69%     23.02%     8.98%   
                   0-123-4-5-6   57.14%     27.38%     25.58%     11.34%  


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-2-3-456   38.10%     36.75%     32.16%     18.76%  
                   0-1-23-4-56   42.06%     32.71%     30.59%     16.83%  
                   0-1-2-34-56   38.10%     32.64%     30.02%     16.31%  
                   0-1-2-345-6   38.89%     32.09%     29.75%     15.97%  
                   0-1-23-45-6   42.06%     30.57%     29.52%     15.50%  
                   0-1-234-5-6   45.24%     29.31%     28.58%     14.63%  
                   01-2-3-4-56   53.97%     32.69%     28.58%     16.16%  
                   0-12-3-4-56   47.62%     32.86%     27.65%     13.97%  
                   01-2-3-45-6   53.97%     30.55%     27.51%     14.84%  
                   01-23-4-5-6   58.73%     28.65%     27.09%     14.38%  
                   0-12-3-45-6   47.62%     30.72%     26.58%     12.65%  
                   01-2-34-5-6   54.76%     28.58%     26.53%     13.86%  
                   0-12-34-5-6   48.41%     28.75%     25.59%     11.68%  
                   0-123-4-5-6   57.14%     27.38%     25.58%     11.34%  
                   012-3-4-5-6   68.25%     27.69%     23.02%     8.98%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-2-3-456   38.10%     36.75%     32.16%     18.76%  
                   0-1-23-4-56   42.06%     32.71%     30.59%     16.83%  
                   0-1-2-34-56   38.10%     32.64%     30.02%     16.31%  
                   01-2-3-4-56   53.97%     32.69%     28.58%     16.16%  
                   0-1-2-345-6   38.89%     32.09%     29.75%     15.97%  
                   0-1-23-45-6   42.06%     30.57%     29.52%     15.50%  
                   01-2-3-45-6   53.97%     30.55%     27.51%     14.84%  
                   0-1-234-5-6   45.24%     29.31%     28.58%     14.63%  
                   01-23-4-5-6   58.73%     28.65%     27.09%     14.38%  
                   0-12-3-4-56   47.62%     32.86%     27.65%     13.97%  
                   01-2-34-5-6   54.76%     28.58%     26.53%     13.86%  
                   0-12-3-45-6   47.62%     30.72%     26.58%     12.65%  
                   0-12-34-5-6   48.41%     28.75%     25.59%     11.68%  
                   0-123-4-5-6   57.14%     27.38%     25.58%     11.34%  
                   012-3-4-5-6   68.25%     27.69%     23.02%     8.98%   
