R:A::C:P,0,1,2 5,3 6,4
0,0.5,0.11904761904761904,0.11904761904761904,0.14285714285714285,0.11904761904761904
1,0.2894736842105263,0.12280701754385964,0.2543859649122807,0.21929824561403508,0.11403508771929824
2 5,0.14516129032258066,0.12903225806451613,0.2903225806451613,0.3387096774193548,0.0967741935483871
3 6,0.05555555555555555,0.1111111111111111,0.3333333333333333,0.4444444444444444,0.05555555555555555
4,0.09090909090909091,0.0,0.18181818181818182,0.2727272727272727,0.45454545454545453
