R:A::C:P,0,1 2,3 4 5,6
0,0.43243243243243246,0.35135135135135137,0.1891891891891892,0.02702702702702703
1 2,0.19969512195121952,0.3521341463414634,0.32926829268292684,0.11890243902439024
3 4 5,0.15498154981549817,0.25461254612546125,0.4797047970479705,0.11070110701107011
6,0.12531969309462915,0.19437340153452684,0.45524296675191817,0.22506393861892582
