R:A::C:P,0,1,2 3,4 5,6
0,0.3150684931506849,0.1780821917808219,0.1506849315068493,0.2876712328767123,0.0684931506849315
1,0.21428571428571427,0.25,0.2357142857142857,0.175,0.125
2 3,0.12162162162162163,0.17567567567567569,0.32432432432432434,0.2927927927927928,0.08558558558558559
4 5,0.14583333333333334,0.08333333333333333,0.2604166666666667,0.375,0.13541666666666666
6,0.10909090909090909,0.15454545454545454,0.24545454545454545,0.33636363636363636,0.15454545454545454
