R:A::C:P,0 6,1,2,3,4,5
0 6,25,6,4,6,5,2
1,45,14,22,13,13,7
2,17,8,10,8,6,5
3,1,1,3,4,1,2
4,2,0,2,2,5,0
5,3,0,3,2,0,0
