R:A::C:P,0 5,1,2,3 6,4
0 5,0.048132183908045974,0.022270114942528736,0.01221264367816092,0.02514367816091954,0.014367816091954023
1,0.08405172413793104,0.07255747126436782,0.028017241379310345,0.05316091954022988,0.035919540229885055
2,0.05244252873563218,0.035919540229885055,0.029454022988505746,0.05531609195402299,0.02442528735632184
3 6,0.10775862068965517,0.033764367816091954,0.039511494252873564,0.12284482758620689,0.05028735632183908
4,0.01221264367816092,0.0035919540229885057,0.011494252873563218,0.013649425287356323,0.011494252873563218
