R:A::C:P,0 2,1,3 5,4,6
0 2,0.28199052132701424,0.2948717948717949,0.23275862068965517,0.21052631578947367,0.20202020202020202
1,0.3104265402843602,0.43162393162393164,0.16954022988505746,0.2631578947368421,0.20202020202020202
3 5,0.13981042654028436,0.09829059829059829,0.1810344827586207,0.15263157894736842,0.12121212121212122
4,0.05687203791469194,0.021367521367521368,0.06321839080459771,0.08421052631578947,0.030303030303030304
6,0.2109004739336493,0.15384615384615385,0.35344827586206895,0.2894736842105263,0.4444444444444444
