R:A::C:P,0,1 2,3 4,5,6
0,0.4857142857142857,0.2,0.2571428571428571,0.05714285714285714,0.0
1 2,0.21153846153846154,0.3942307692307692,0.28846153846153844,0.08653846153846154,0.019230769230769232
3 4,0.07142857142857142,0.2857142857142857,0.6428571428571429,0.0,0.0
5,0.25,0.25,0.25,0.0,0.25
6,0.5,0.0,0.5,0.0,0.0
