R:A::C:P,0 5 6,1,2,3,4
0 5 6,0.5698924731182796,0.10752688172043011,0.0967741935483871,0.08602150537634409,0.13978494623655913
1,0.4578313253012048,0.18674698795180722,0.12650602409638553,0.10240963855421686,0.12650602409638553
2,0.3950617283950617,0.20987654320987653,0.16049382716049382,0.09876543209876543,0.13580246913580246
3,0.3181818181818182,0.045454545454545456,0.2727272727272727,0.13636363636363635,0.22727272727272727
4,0.2857142857142857,0.0,0.14285714285714285,0.07142857142857142,0.5
