R:A::C:P,0 1 2,3,4 5,6
0 1 2,0.7480719794344473,0.631578947368421,0.5817307692307693,0.5955056179775281
3,0.05398457583547558,0.09473684210526316,0.0673076923076923,0.06741573033707865
4 5,0.09254498714652956,0.11578947368421053,0.17307692307692307,0.14606741573033707
6,0.10539845758354756,0.15789473684210525,0.1778846153846154,0.19101123595505617
