R:A::C:P,0,1 2 3,4,5 6
0,0.3010752688172043,0.10204081632653061,0.12280701754385964,0.12658227848101267
1 2 3,0.6236559139784946,0.7959183673469388,0.6491228070175439,0.7215189873417721
4,0.021505376344086023,0.02040816326530612,0.12280701754385964,0.02531645569620253
5 6,0.053763440860215055,0.08163265306122448,0.10526315789473684,0.12658227848101267
