R:A::C:P,0 1,2 3 4 5,6
0 1,0.1752873563218391,0.12140804597701149,0.03017241379310345
2 3 4 5,0.11422413793103449,0.22916666666666666,0.04885057471264368
6,0.0610632183908046,0.15660919540229884,0.06321839080459771
