R:A::C:P,0,1 3,2 4,5,6
0,0.4666666666666667,0.18333333333333332,0.18333333333333332,0.08333333333333333,0.08333333333333333
1 3,0.2553191489361702,0.2765957446808511,0.28191489361702127,0.0425531914893617,0.14361702127659576
2 4,0.12631578947368421,0.2736842105263158,0.3473684210526316,0.06315789473684211,0.18947368421052632
5,0.23529411764705882,0.23529411764705882,0.17647058823529413,0.17647058823529413,0.17647058823529413
6,0.0625,0.1875,0.5,0.1875,0.0625
