R:A::C:P,0 1,2 3 5 6,4
0 1,0.5865724381625441,0.3877551020408163,0.330188679245283
2 3 5 6,0.38515901060070673,0.5510204081632653,0.6037735849056604
4,0.028268551236749116,0.061224489795918366,0.0660377358490566
