R:A::C:P,0,1,2,3,4,5,6,p
0,0.0,0.3561643835616438,0.0684931506849315,0.0684931506849315,0.1780821917808219,0.1232876712328767,0.0821917808219178,0.1232876712328767
1,0.2785714285714286,0.0,0.1,0.17142857142857143,0.07857142857142857,0.08928571428571429,0.16071428571428573,0.12142857142857143
2,0.10465116279069768,0.16279069767441862,0.0,0.18023255813953487,0.13372093023255813,0.1511627906976744,0.06976744186046512,0.19767441860465115
3,0.06,0.2,0.16,0.0,0.08,0.16,0.14,0.2
4,0.15384615384615385,0.05128205128205128,0.23076923076923078,0.10256410256410256,0.0,0.2564102564102564,0.15384615384615385,0.05128205128205128
5,0.08771929824561403,0.08771929824561403,0.07017543859649122,0.12280701754385964,0.22807017543859648,0.0,0.17543859649122806,0.22807017543859648
6,0.1,0.14545454545454545,0.09090909090909091,0.20909090909090908,0.24545454545454545,0.1,0.0,0.10909090909090909
p,0.2727272727272727,0.06060606060606061,0.18181818181818182,0.24242424242424243,0.06060606060606061,0.12121212121212122,0.06060606060606061,0.0
