R:A::C:P,0 1,2 3,4 5,6
0 1,0.6944444444444444,0.4807692307692308,0.5137614678899083,0.28888888888888886
2 3,0.19907407407407407,0.3782051282051282,0.25688073394495414,0.3333333333333333
4 5,0.06018518518518518,0.09615384615384616,0.11926605504587157,0.2
6,0.046296296296296294,0.04487179487179487,0.11009174311926606,0.17777777777777778
