R:A::C:P,0 1 3,2,4 5,6
0 1 3,0.6690647482014388,0.6276595744680851,0.5963302752293578,0.4
2,0.20863309352517986,0.2553191489361702,0.1743119266055046,0.2222222222222222
4 5,0.07553956834532374,0.07446808510638298,0.11926605504587157,0.2
6,0.046762589928057555,0.0425531914893617,0.11009174311926606,0.17777777777777778
