R:A::C:P,0,1,2,3,4,5 6
0,0.16911764705882354,0.08843537414965986,0.05660377358490566,0.05263157894736842,0.11320754716981132,0.07329842931937172
1,0.4411764705882353,0.47619047619047616,0.330188679245283,0.3263157894736842,0.2169811320754717,0.3193717277486911
2,0.16911764705882354,0.2108843537414966,0.2830188679245283,0.25263157894736843,0.2358490566037736,0.20418848167539266
3,0.029411764705882353,0.05442176870748299,0.08490566037735849,0.09473684210526316,0.05660377358490566,0.07329842931937172
4,0.051470588235294115,0.006802721088435374,0.08490566037735849,0.042105263157894736,0.0660377358490566,0.05759162303664921
5 6,0.13970588235294118,0.16326530612244897,0.16037735849056603,0.23157894736842105,0.3113207547169811,0.27225130890052357
