R:A::C:P,0,1,2 3 6,4 5
0,0.053231939163498096,0.022813688212927757,0.034220532319391636,0.019011406844106463
1,0.12737642585551331,0.0817490494296578,0.13307984790874525,0.08745247148288973
2 3 6,0.049429657794676805,0.051330798479087454,0.16920152091254753,0.07604562737642585
4 5,0.017110266159695818,0.0076045627376425855,0.045627376425855515,0.024714828897338403
