R:A::C:P,0,1 2,3,4,5 6
0,0.4117647058823529,0.3235294117647059,0.08823529411764706,0.07352941176470588,0.10294117647058823
1 2,0.24925816023738873,0.3768545994065282,0.11869436201780416,0.10979228486646884,0.14540059347181009
3,0.08823529411764706,0.35294117647058826,0.14705882352941177,0.058823529411764705,0.35294117647058826
4,0.125,0.2916666666666667,0.041666666666666664,0.0,0.5416666666666666
5 6,0.19047619047619047,0.19047619047619047,0.15873015873015872,0.2222222222222222,0.23809523809523808
