orig,eos
Cor_MESSENGERS.X.1,Cor_Messenger
Cor_NOBLES.0.1,Cor_Patrician
Cor_OFFICERS.1,Cor_1 Officer
Cor_OFFICERS.2,Cor_2 Officer
Cor_SOLDIERS.ROMAN.0.2,Cor_2 Soldier
Cor_SOLDIERS.VOLSCIAN.Lieutenant,Cor_Lieutenant
Cor_TRIBUNES.Brutus,Cor_Brutus
Cor_WATCHMEN.1,Cor_1 Watch
Cor_WATCHMEN.2,Cor_2 Watch
Cym_ATTENDANTS.0.1,Cym_Messenger
Cym_ATTENDANTS.0.2,Cym_Lord
Cym_ATTENDANTS.3,Cym_Lord
Cym_Cloten,Cym_Clotten
Cym_GHOSTS.Father,Cym_Sicilius Leonatus
Cym_GHOSTS.Mother,Cym_Mother
Cym_LADIES.IMOGEN,Cym_Lady
Cym_LADIES.QUEEN,Cym_Lady
Cym_LADIES.QUEEN.0.1,Cym_Lady
Cym_MESSENGERS.1,Cym_Messenger
Cym_MESSENGERS.2,Cym_Messenger
Cym_SOLDIERS.ROMAN.0.1,Cym_Captain
Cym_TRIBUNES.0.1,Cym_Tribune
Err_DromioOfSyracuse,Err_Dromio of Syracuse
Err_Merchant2,Err_Second Merchant
Err_OFFICERS.Jailer,Err_Jailor
H5_AMBASSADORS.0.1,H5_Ambassador
H5_BishopOfCanterbury,H5_Canterbury
H5_BishopOfEly,H5_Ely
H5_HERALDS.1,H5_Herald
H5_HenryV,H5_King Henry
H5_KingOfFrance,H5_French King
H5_MESSENGERS.X.1,H5_Messenger
H5_MESSENGERS.X.2,H5_Messenger
H5_MESSENGERS.X.3,H5_Messenger
H5_MistressQuickly,H5_Hostess
H5_SOLDIERS.ENGLISH.Bates,H5_Bates
H5_SOLDIERS.ENGLISH.Court,H5_Court
H5_SOLDIERS.ENGLISH.Williams,H5_Williams
H5_SOLDIERS.FRENCH.LeFer,H5_French Soldier
H5_Westmoreland,H5_Westmorland
H8_BishopOfLincoln,H8_Lincoln
H8_GENTLEMEN.1,H8_1 Gentleman
H8_GENTLEMEN.3,H8_3 Gentleman
H8_HenryVIII,H8_King Henry
H8_Katherine,H8_Katharine
H8_LADIES.KATHERINE.Patience,H8_Patience
H8_OldLady,H8_Old Lady
H8_Page,H8_Boy
H8_SECRETARIES.0.1,H8_Secretary
H8_SERVANTS.LARDER.1,H8_One
H8_SERVANTS.PORTER.1,H8_Man
H8_Sands,H8_Sandys
H8_Surveyor,H8_Surrey
Ham_AMBASSADORS,Ham_Ambassador
Ham_ATTENDANTS.1,Ham_Horatio
Ham_Doctor,Ham_Priest
Ham_Gravedigger,Ham_Clown
Ham_MESSENGERS.1,Ham_Messenger
Ham_MESSENGERS.2,Ham_Messenger
Ham_PLAYERS.0.1,Ham_Player
Ham_PLAYERS.Lucianus,Ham_Lucianus
Ham_SOLDIERS.FORTINBRAS.Captain,Ham_Captain
JC_COMMONERS.Carpenter,JC_Carpenter
JC_COMMONERS.Cobbler,JC_Cobbler
JC_Calphurnia,JC_Calpurnia
JC_CinnaPoet,JC_Cinna
JC_SERVANTS.ANTONY.1,JC_Servant
JC_SERVANTS.OCTAVIUS.1,JC_Servant
JC_SOLDIERS.ANTONY.0.1,JC_1 Soldier
JC_SOLDIERS.ANTONY.0.2,JC_2 Soldier
JC_SOLDIERS.BRUTUS.Cato,JC_Cato
JC_SOLDIERS.BRUTUS.Clitus,JC_Clitus
JC_SOLDIERS.BRUTUS.Dardanus,JC_Dardanius
JC_SOLDIERS.BRUTUS.Lucilius,JC_Lucilius
JC_SOLDIERS.BRUTUS.Messala,JC_Messala
JC_SOLDIERS.BRUTUS.Strato,JC_Strato
JC_SOLDIERS.BRUTUS.Volumnius,JC_Volumnius
Jn_Chatillion,Jn_Chatillon
Jn_EXECUTIONERS.0.1,Jn_Executioner
Jn_HERALDS.ENGLISH,Jn_English Herald
Jn_HERALDS.FRENCH,Jn_French Herald
Jn_LadyFaulconbridge,Jn_Lady Faulconbridge
Jn_MESSENGERS.ENGLISH.1,Jn_Messenger
Jn_MESSENGERS.FRENCH.1,Jn_Messenger
Jn_PrinceHenry,Jn_Prince Henry
Jn_QueenEleanor,Jn_Queen Eleanor
Jn_RobertFaulconbridge,Jn_Robert Faulconbridge
Lr_ATTENDANTS.X.1,Lr_Servant
Lr_ATTENDANTS.X.2,Lr_Knight
Lr_ATTENDANTS.X.3,Lr_Gentleman
Lr_MESSENGERS.X.2,Lr_Messenger
Lr_OldMan,Lr_Old Man
MM_FriarPeter,MM_Friar Peter
MM_GENTLEMEN.2,MM_Second Gentleman
MND_FAIRIES.TITANIA.0.1,MND_1 Fairy
MND_FAIRIES.TITANIA.1,MND_Fairy
MND_RobinGoodfellow,MND_Puck
Mac_ATTENDANTS,Mac_Lords
Mac_Doctor1,Mac_Doctor
Mac_Doctor2,Mac_Doctor
Mac_LadyMacbeth,Mac_Lady Macbeth
Mac_LadyMacduff,Mac_Lady Macduff
Mac_MESSENGERS.2,Mac_Messenger
Mac_MESSENGERS.3,Mac_Messenger
Mac_MURDERERS.0.1,Mac_1 Murderer
Mac_MURDERERS.1,Mac_Murderers
Mac_MURDERERS.2,Mac_Murderers
Mac_MacduffsSon,Mac_Son
Mac_OldMan,Mac_Old Man
Mac_SERVANTS.X.2,Mac_Servant
Mac_SERVANTS.X.3,Mac_Servant
Mac_SERVANTS.X.4,Mac_Servant
Mac_SPIRITS.1,Mac_1 Apparition
Mac_SPIRITS.2,Mac_1 Apparition
Mac_SPIRITS.3,Mac_3 Apparition
Mac_WITCHES.1,Mac_1 Witch
Mac_WITCHES.2,Mac_2 Witch
Mac_WITCHES.3,Mac_3 Witch
Mac_YoungSiward,Mac_Young Siward
Oth_MESSENGERS.X.1,Oth_Messenger
Oth_MUSICIANS.0.1,Oth_Musician
Oth_SENATORS,Oth_All
Per_FISHERMEN.1,Per_1 Fisherman
Per_FISHERMEN.2,Per_2 Fisherman
Per_FISHERMEN.3,Per_3 Fisherman
Per_GENTLEMEN.EPHESUS.1,Per_1 Knight
Per_GENTLEMEN.EPHESUS.2,Per_2 Gentleman
Per_GENTLEMEN.MYTILENE.1,Per_1 Gentleman
Per_GENTLEMEN.MYTILENE.2,Per_2 Gentleman
Per_GENTLEMEN.TYRE.0.1,Per_1 Gentleman
Per_KNIGHTS,Per_Knights
Per_KNIGHTS.0.1,Per_Knights
Per_KNIGHTS.0.2,Per_Knights
Per_KNIGHTS.0.3,Per_Knights
Per_LORDS.PENTAPOLIS.0.1,Per_1 Lord
Per_LORDS.PENTAPOLIS.0.2,Per_2 Lord
Per_LORDS.PENTAPOLIS.0.3,Per_3 Lord
Per_LORDS.TARSUS.1,Per_Lord
Per_LORDS.TYRE,Per_All
Per_LORDS.TYRE.0.1,Per_1 Lord
Per_LORDS.TYRE.0.3,Per_3 Lord
Per_LORDS.TYRE.Escanes,Per_Escanes
Per_MESSENGERS.ANTIOCH.1,Per_Messenger
Per_PIRATES.0.1,Per_1 Pirate
Per_PIRATES.0.2,Per_2 Pirate
Per_PIRATES.0.3,Per_3 Pirate
Per_SAILORS.1,Per_1 Sailor
Per_SAILORS.2,Per_2 Sailor
Per_SAILORS.TYRE.1,Per_1 Sailor
Per_SUPPLIANTS.1,Per_Servant
R2_AbbotOfWestminster,R2_Abbot
R2_BishopOfCarlisle,R2_Carlisle
R2_DuchessOfGloucester,R2_Duchess of Gloucester
R2_DuchessOfYork,R2_Duchess of York
R2_Jailer,R2_Keeper
