R:A::C:P,0 6,1 5,2,3,4
0 6,0.12284482758620689,0.09195402298850575,0.033764367816091954,0.041666666666666664,0.04382183908045977
1 5,0.11494252873563218,0.10847701149425287,0.035201149425287355,0.03807471264367816,0.04597701149425287
2,0.05531609195402299,0.0603448275862069,0.029454022988505746,0.028017241379310345,0.02442528735632184
3,0.021551724137931036,0.01939655172413793,0.010775862068965518,0.010775862068965518,0.010775862068965518
4,0.010057471264367816,0.010057471264367816,0.011494252873563218,0.009339080459770116,0.011494252873563218
