R:A::C:P,0,1 2 3,4 5 6
0,0.3230769230769231,0.1111111111111111,0.12162162162162163
1 2 3,0.6153846153846154,0.7685185185185185,0.7702702702702703
4 5 6,0.06153846153846154,0.12037037037037036,0.10810810810810811
