R:A::C:P,0,1 2 3,4 5,6
0,0.12598425196850394,0.05,0.030555555555555555,0.010101010101010102
1 2 3,0.5826771653543307,0.5948275862068966,0.48333333333333334,0.4595959595959596
4 5,0.0984251968503937,0.12931034482758622,0.14444444444444443,0.08585858585858586
6,0.19291338582677164,0.22586206896551725,0.3416666666666667,0.4444444444444444
