R:C::C:G,0,1,2,3,4,5
0,0.5,0.16666666666666666,0.17647058823529413,0.07142857142857142,0.4,0.3
1,0.3333333333333333,0.4444444444444444,0.4117647058823529,0.5714285714285714,0.3333333333333333,0.6
2,0.0,0.2777777777777778,0.29411764705882354,0.2857142857142857,0.26666666666666666,0.1
3,0.0,0.05555555555555555,0.058823529411764705,0.07142857142857142,0.0,0.0
4,0.16666666666666666,0.05555555555555555,0.0,0.0,0.0,0.0
5,0.0,0.0,0.058823529411764705,0.0,0.0,0.0
