R:C::C:G,0,1,2,3,4,5
0,0.0375,0.0375,0.0375,0.0125,0.075,0.0375
1,0.025,0.1,0.0875,0.1,0.0625,0.075
2,0.0,0.0625,0.0625,0.05,0.05,0.0125
3,0.0,0.0125,0.0125,0.0125,0.0,0.0
4,0.0125,0.0125,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0125,0.0,0.0,0.0
