R:A::C:P,0,1,2,3,4,5,6,p
0,0.1724137931034483,0.05747126436781609,0.0,0.011494252873563218,0.0,0.0,0.0,0.011494252873563218
1,0.06896551724137931,0.13793103448275862,0.034482758620689655,0.0,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.034482758620689655
2,0.022988505747126436,0.04597701149425287,0.05747126436781609,0.011494252873563218,0.0,0.011494252873563218,0.0,0.0
3,0.0,0.022988505747126436,0.0,0.0,0.0,0.011494252873563218,0.0,0.0
4,0.0,0.0,0.0,0.0,0.011494252873563218,0.011494252873563218,0.0,0.0
5,0.011494252873563218,0.0,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.0
6,0.0,0.011494252873563218,0.0,0.0,0.011494252873563218,0.034482758620689655,0.0,0.011494252873563218
p,0.022988505747126436,0.011494252873563218,0.034482758620689655,0.0,0.0,0.0,0.022988505747126436,0.0
