7	(('0',), ('1',), ('2',), ('3',), ('4',), ('5',), ('6',))
6	(('0', '1'), ('2',), ('3',), ('4',), ('5',), ('6',))
5	(('0', '1', '2'), ('3',), ('4',), ('5',), ('6',))
4	(('0', '1', '2', '3'), ('4',), ('5',), ('6',))
3	(('0', '1', '2', '3', '6'), ('4',), ('5',))
2	(('0', '1', '2', '3', '4', '6'), ('5',))
1	(('0', '1', '2', '3', '4', '5', '6'),)
