                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0123-4-5-6   65.18%     28.93%     25.84%     3.26%   
                    0124-3-5-6   64.78%     25.98%     24.31%     4.51%   
                    0126-3-4-5   64.78%     37.17%     30.12%     11.20%  
                    0125-3-4-6   61.13%     35.98%     29.44%     11.14%  
                    012-35-4-6   55.47%     36.13%     29.55%     11.45%  
                    012-36-4-5   55.47%     37.24%     28.85%     11.16%  
                    012-34-5-6   55.06%     27.81%     24.63%     5.90%   
                    012-3-4-56   54.66%     38.03%     29.89%     11.85%  
                    012-3-46-5   54.25%     31.92%     26.07%     7.61%   
                    012-3-45-6   53.85%     29.67%     25.92%     6.93%   


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    012-3-4-56   54.66%     38.03%     29.89%     11.85%  
                    012-36-4-5   55.47%     37.24%     28.85%     11.16%  
                    0126-3-4-5   64.78%     37.17%     30.12%     11.20%  
                    012-35-4-6   55.47%     36.13%     29.55%     11.45%  
                    0125-3-4-6   61.13%     35.98%     29.44%     11.14%  
                    012-3-46-5   54.25%     31.92%     26.07%     7.61%   
                    012-3-45-6   53.85%     29.67%     25.92%     6.93%   
                    0123-4-5-6   65.18%     28.93%     25.84%     3.26%   
                    012-34-5-6   55.06%     27.81%     24.63%     5.90%   
                    0124-3-5-6   64.78%     25.98%     24.31%     4.51%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0126-3-4-5   64.78%     37.17%     30.12%     11.20%  
                    012-3-4-56   54.66%     38.03%     29.89%     11.85%  
                    012-35-4-6   55.47%     36.13%     29.55%     11.45%  
                    0125-3-4-6   61.13%     35.98%     29.44%     11.14%  
                    012-36-4-5   55.47%     37.24%     28.85%     11.16%  
                    012-3-46-5   54.25%     31.92%     26.07%     7.61%   
                    012-3-45-6   53.85%     29.67%     25.92%     6.93%   
                    0123-4-5-6   65.18%     28.93%     25.84%     3.26%   
                    012-34-5-6   55.06%     27.81%     24.63%     5.90%   
                    0124-3-5-6   64.78%     25.98%     24.31%     4.51%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                    012-3-4-56   54.66%     38.03%     29.89%     11.85%  
                    012-35-4-6   55.47%     36.13%     29.55%     11.45%  
                    0126-3-4-5   64.78%     37.17%     30.12%     11.20%  
                    012-36-4-5   55.47%     37.24%     28.85%     11.16%  
                    0125-3-4-6   61.13%     35.98%     29.44%     11.14%  
                    012-3-46-5   54.25%     31.92%     26.07%     7.61%   
                    012-3-45-6   53.85%     29.67%     25.92%     6.93%   
                    012-34-5-6   55.06%     27.81%     24.63%     5.90%   
                    0124-3-5-6   64.78%     25.98%     24.31%     4.51%   
                    0123-4-5-6   65.18%     28.93%     25.84%     3.26%   
