R:A::C:P,0,1 3,2 4 5
0,0.36363636363636365,0.25,0.11538461538461539
1 3,0.45454545454545453,0.4375,0.5769230769230769
2 4 5,0.18181818181818182,0.3125,0.3076923076923077
