R:A::C:P,0 1 2 3,4 5,6
0 1 2 3,0.744874715261959,0.19134396355353075,0.06378132118451026
4 5,0.56,0.26,0.18
6,0.4594594594594595,0.32432432432432434,0.21621621621621623
