R:A::C:P,0,1,2,3,4,5,6,7
0,21,13,6,5,10,9,4,5
1,43,59,34,29,22,26,34,33
2,19,31,30,24,24,26,9,9
3,2,5,9,9,5,8,5,7
4,5,1,9,4,5,8,2,5
5,6,4,4,7,9,12,10,5
6,7,13,11,15,23,11,16,14
7,4,1,0,1,1,0,1,4
