R:A::C:P,0 1,2 3,4 5 6
0 1,0.28517110266159695,0.14258555133079848,0.1311787072243346
2 3,0.0817490494296578,0.11216730038022814,0.0817490494296578
4 5 6,0.043726235741444866,0.04182509505703422,0.07984790874524715
