R:A::C:P,0,1 2 3,4,5 6
0,0.029449423815621,0.030729833546734954,0.015364916773367477,0.01792573623559539
1 2 3,0.11139564660691421,0.31626120358514725,0.06914212548015365,0.14596670934699105
4,0.008962868117797696,0.01792573623559539,0.008962868117797696,0.014084507042253521
5 6,0.024327784891165175,0.08066581306017925,0.04225352112676056,0.06658130601792574
