R:A::C:P,0 3 5,1,2,4 6
0 3 5,0.22757475083056478,0.1794871794871795,0.19047619047619047,0.15721649484536082
1,0.25083056478405313,0.43162393162393164,0.23214285714285715,0.23195876288659795
2,0.18604651162790697,0.21367521367521367,0.24404761904761904,0.18556701030927836
4 6,0.33554817275747506,0.1752136752136752,0.3333333333333333,0.4252577319587629
