R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,36,12,7,5,5,2,0,1,0,5
1,52,73,43,36,16,11,26,7,0,16
2,27,28,28,32,11,15,12,3,0,16
3,7,7,8,12,3,3,6,1,0,3
4,5,3,5,5,9,5,5,1,0,1
5,4,8,1,10,6,19,8,1,0,0
6,3,13,11,14,19,17,21,7,0,5
7,3,4,0,1,2,0,0,2,0,0
a2,0,1,0,0,0,0,0,0,0,0
p,7,1,7,6,0,4,2,2,0,4
